device_id,date,time,temperature,RH,PM2.5,lat,lon
08BEAC245F4A,2023-07-30,00:00:01,30.5,100.0,7.0,24.5968,121.841078
08BEAC245C7A,2023-07-30,00:00:16,27.7,100.0,3.0,24.649751,120.9531952
08BEAC252838,2023-07-30,00:00:43,28.3,100.0,4.0,23.819479,121.473126
08BEAC252BA0,2023-07-30,00:00:49,28.0,100.0,2.0,24.6752335,121.0590723
08BEAC252C20,2023-07-30,00:01:19,27.7,100.0,2.0,24.574514,121.47802
08BEAC245ED4,2023-07-30,00:01:25,29.8,100.0,10.0,24.61402,121.853386
08BEAC245D64,2023-07-30,00:01:30,29.7,94.0,8.0,24.62168,121.834905
08BEAC252862,2023-07-30,00:01:51,28.1,100.0,2.0,24.780019,121.180754
08BEAC245C4E,2023-07-30,00:02:09,26.7,100.0,4.0,24.374115,120.8436439
08BEAC252820,2023-07-30,00:02:10,30.1,100.0,3.0,24.830241,121.0067357
08BEAC245CF6,2023-07-30,00:02:31,29.0,100.0,1.0,23.468906434845,120.46094857156
08BEAC245E0E,2023-07-30,00:03:19,29.7,100.0,2.0,24.926586,121.018743
08BEAC245B1C,2023-07-30,00:03:27,29.5,100.0,8.0,24.602338,120.77856
08BEAC245F6A,2023-07-30,00:03:27,28.2,100.0,3.0,24.7457187,121.0847249
08BEAC252936,2023-07-30,00:03:47,27.3,100.0,0.0,24.7052738,121.183567
08BEAC245F3C,2023-07-30,00:04:03,29.5,100.0,13.0,24.639860153198,121.83334350585
08BEAC25291A,2023-07-30,00:04:12,30.2,100.0,4.0,24.9027334,120.9912667
08BEAC245DA6,2023-07-30,00:04:38,27.8,100.0,0.0,23.4844262,120.4874326
08BEAC252B9A,2023-07-30,00:05:10,24.3,100.0,1.0,24.6250013,121.1482569
08BEAC245F4A,2023-07-30,00:05:19,30.3,100.0,8.0,24.5968,121.841078
08BEAC245C7A,2023-07-30,00:05:30,27.8,100.0,3.0,24.649751,120.9531952
08BEAC252838,2023-07-30,00:05:58,28.3,100.0,3.0,23.819479,121.473126
08BEAC252BA0,2023-07-30,00:06:05,28.0,100.0,2.0,24.6752335,121.0590723
08BEAC252C20,2023-07-30,00:06:34,27.7,100.0,2.0,24.574514,121.47802
08BEAC245ED4,2023-07-30,00:06:40,29.8,100.0,10.0,24.61402,121.853386
08BEAC245D64,2023-07-30,00:06:43,29.8,94.0,8.0,24.62168,121.834905
08BEAC252862,2023-07-30,00:07:06,28.2,100.0,2.0,24.780019,121.180754
08BEAC245C4E,2023-07-30,00:07:24,26.8,100.0,4.0,24.374115,120.8436439
08BEAC252820,2023-07-30,00:07:27,30.1,100.0,3.0,24.830241,121.0067357
08BEAC245CF6,2023-07-30,00:07:44,29.0,100.0,2.0,23.468906434845,120.46094857156
08BEAC245E0E,2023-07-30,00:08:33,29.8,100.0,2.0,24.926586,121.018743
08BEAC245F6A,2023-07-30,00:08:41,28.3,100.0,3.0,24.7457187,121.0847249
